Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
8600000US10033,10033,ZCTA5 10033,60810,2267,18958,1139,41852,2463
8600000US10034,10034,ZCTA5 10034,44186,1677,12181,734,32005,1793
8600000US10035,10035,ZCTA5 10035,35366,1460,18660,1197,16706,1195
8600000US10036,10036,ZCTA5 10036,26868,1360,21597,1319,5271,864
8600000US10037,10037,ZCTA5 10037,21184,1191,16207,1156,4977,683
8600000US10038,10038,ZCTA5 10038,22457,1214,19849,1245,2608,516
8600000US10039,10039,ZCTA5 10039,27203,1213,18881,991,8322,1092
8600000US10040,10040,ZCTA5 10040,46003,1796,13990,863,32013,1863
8600000US10044,10044,ZCTA5 10044,11945,1032,10326,1010,1619,455
8600000US10065,10065,ZCTA5 10065,29565,1516,27722,1515,1843,430
8600000US10069,10069,ZCTA5 10069,5195,912,5144,915,51,57
8600000US10075,10075,ZCTA5 10075,22818,2499,19616,2037,3202,1620
8600000US10103,10103,ZCTA5 10103,0,11,0,11,0,11
8600000US10110,10110,ZCTA5 10110,0,11,0,11,0,11
8600000US10111,10111,ZCTA5 10111,0,11,0,11,0,11
8600000US10112,10112,ZCTA5 10112,0,11,0,11,0,11
8600000US10115,10115,ZCTA5 10115,0,11,0,11,0,11
8600000US10119,10119,ZCTA5 10119,0,11,0,11,0,11
8600000US10128,10128,ZCTA5 10128,62743,2376,54876,2106,7867,1203
8600000US10152,10152,ZCTA5 10152,0,11,0,11,0,11
8600000US10153,10153,ZCTA5 10153,0,11,0,11,0,11
8600000US10154,10154,ZCTA5 10154,0,11,0,11,0,11
8600000US10162,10162,ZCTA5 10162,1324,522,1324,522,0,11
8600000US10165,10165,ZCTA5 10165,0,11,0,11,0,11
8600000US10167,10167,ZCTA5 10167,0,11,0,11,0,11
8600000US10168,10168,ZCTA5 10168,0,11,0,11,0,11
8600000US10169,10169,ZCTA5 10169,0,11,0,11,0,11
8600000US10170,10170,ZCTA5 10170,0,11,0,11,0,11
8600000US10171,10171,ZCTA5 10171,0,11,0,11,0,11
8600000US10172,10172,ZCTA5 10172,0,11,0,11,0,11
8600000US10173,10173,ZCTA5 10173,0,11,0,11,0,11
8600000US10174,10174,ZCTA5 10174,0,11,0,11,0,11
8600000US10177,10177,ZCTA5 10177,0,11,0,11,0,11
8600000US10199,10199,ZCTA5 10199,0,11,0,11,0,11
8600000US10271,10271,ZCTA5 10271,0,11,0,11,0,11
8600000US10278,10278,ZCTA5 10278,0,11,0,11,0,11
8600000US10279,10279,ZCTA5 10279,0,11,0,11,0,11
8600000US10280,10280,ZCTA5 10280,9820,692,8964,634,856,310
8600000US10282,10282,ZCTA5 10282,5644,554,5329,522,315,236
8600000US10301,10301,ZCTA5 10301,39451,1740,29862,1735,9589,1242
8600000US10302,10302,ZCTA5 10302,18539,906,11033,902,7506,841
8600000US10303,10303,ZCTA5 10303,25804,1052,16131,992,9673,877
8600000US10304,10304,ZCTA5 10304,41884,1951,31113,1677,10771,1444
